id_doacao,id_doadora,id_banco,volume_ml,data_coleta,status
21,3,8,897,2026-04-12 14:00:00,RECEBIDA
5,5,6,865,2026-03-11 14:00:00,PROCESSADA
10,10,1,830,2026-03-21 16:00:00,PROCESSADA
15,15,6,795,2026-03-31 18:00:00,RECEBIDA
20,2,5,760,2026-04-10 12:00:00,PROCESSADA
4,4,3,728,2026-03-09 12:00:00,PROCESSADA
9,9,8,693,2026-03-19 14:00:00,RECEBIDA
14,14,3,658,2026-03-29 16:00:00,PROCESSADA
3,3,10,591,2026-03-07 18:00:00,RECEBIDA
24,6,7,588,2026-04-18 12:00:00,RECEBIDA
8,8,5,556,2026-03-17 12:00:00,PROCESSADA
13,13,10,521,2026-03-27 14:00:00,PROCESSADA
