id_banco,banco,id_agendamento,data_hora,status
7,Banco de Leite ABC,2,2026-03-05 13:00:00,CONCLUIDO
7,Banco de Leite ABC,12,2026-03-25 09:00:00,CONCLUIDO
7,Banco de Leite ABC,24,2026-04-18 09:00:00,CONCLUIDO
4,Banco de Leite Campinas,1,2026-03-03 11:00:00,CONCLUIDO
4,Banco de Leite Campinas,11,2026-03-23 15:00:00,CONCLUIDO
4,Banco de Leite Campinas,23,2026-04-16 15:00:00,CONCLUIDO
5,Banco de Leite Guarulhos,8,2026-03-17 09:00:00,CONCLUIDO
5,Banco de Leite Guarulhos,18,2026-04-06 13:00:00,CONCLUIDO
5,Banco de Leite Guarulhos,20,2026-04-10 09:00:00,CONCLUIDO
1,Banco de Leite Hospital Central,10,2026-03-21 13:00:00,CONCLUIDO
1,Banco de Leite Hospital Central,22,2026-04-14 13:00:00,CONCLUIDO
6,Banco de Leite Osasco,5,2026-03-11 11:00:00,CONCLUIDO
6,Banco de Leite Osasco,15,2026-03-31 15:00:00,CONCLUIDO
6,Banco de Leite Osasco,27,2026-04-24 15:00:00,CANCELADO
8,Banco de Leite Sao Bernardo,9,2026-03-19 11:00:00,CONCLUIDO
8,Banco de Leite Sao Bernardo,21,2026-04-12 11:00:00,CONCLUIDO
2,Banco de Leite Vila Mariana,7,2026-03-15 15:00:00,CONCLUIDO
2,Banco de Leite Vila Mariana,17,2026-04-04 11:00:00,CONCLUIDO
2,Banco de Leite Vila Mariana,19,2026-04-08 15:00:00,CONCLUIDO
3,Banco de Leite Zona Leste,4,2026-03-09 09:00:00,CONCLUIDO
3,Banco de Leite Zona Leste,14,2026-03-29 13:00:00,CONCLUIDO
3,Banco de Leite Zona Leste,26,2026-04-22 13:00:00,AGENDADO
9,Posto de Coleta Centro,6,2026-03-13 13:00:00,CONCLUIDO
9,Posto de Coleta Centro,16,2026-04-02 09:00:00,CONCLUIDO
9,Posto de Coleta Centro,28,2026-04-26 09:00:00,CANCELADO
10,Posto de Coleta Norte,3,2026-03-07 15:00:00,CONCLUIDO
10,Posto de Coleta Norte,13,2026-03-27 11:00:00,CONCLUIDO
10,Posto de Coleta Norte,25,2026-04-20 11:00:00,AGENDADO
